time,CO2,TVOC,CH2O,PM2.5,humidity,temperature,PM10,PM1.0,LUX,MCU,noise
13:59:39,462,68,29,17,4279,2605,23,13,794,3566,54
13:59:40,457,65,27,17,4280,2605,23,14,794,3549,54
13:59:41,461,67,28,17,4280,2605,22,13,794,3556,54
13:59:42,460,62,26,16,4281,2606,21,13,794,3552,54
13:59:43,462,71,30,16,4282,2606,19,12,794,3548,54
13:59:44,459,69,29,16,4283,2606,18,11,794,3552,53
13:59:45,458,64,27,15,4284,2606,18,10,792,3556,53
13:59:46,457,69,29,14,4286,2605,18,9,792,3560,54
13:59:47,457,69,29,12,4287,2605,18,7,794,3549,54
13:59:48,459,68,29,10,4290,2606,19,5,792,3560,54
13:59:49,470,67,28,9,4291,2606,19,4,792,3564,54
13:59:50,466,68,29,8,4292,2607,19,4,792,3581,54
13:59:51,470,67,28,8,4291,2608,19,4,792,3573,54
13:59:52,464,68,29,8,4289,2607,19,5,794,3576,53
13:59:53,469,68,29,8,4288,2607,20,5,794,3576,53
13:59:54,475,72,30,8,4286,2606,20,6,792,3541,53
13:59:55,460,71,30,9,4284,2606,21,7,792,3532,53
13:59:56,466,69,29,11,4281,2607,24,9,794,3508,54
13:59:57,465,72,30,14,4279,2606,28,11,698,3518,54
13:59:58,462,70,29,14,4277,2605,28,11,640,3508,54
13:59:59,465,74,31,17,4277,2605,33,12,740,3508,56
14:00:00,461,63,26,18,4277,2605,36,11,736,3514,54
14:00:01,457,66,28,19,4277,2606,35,11,684,3514,54
14:00:02,469,72,30,18,4281,2606,34,11,716,3521,53
14:00:03,476,71,30,17,4293,2606,32,11,764,3510,54
14:00:04,479,64,27,16,4307,2607,30,11,722,3545,55
14:00:05,485,67,28,15,4323,2606,30,11,778,3556,54
14:00:06,486,71,30,15,4336,2607,28,12,780,3566,54
14:00:07,489,75,32,15,4341,2607,28,12,780,3538,53
14:00:08,482,73,31,15,4339,2606,27,12,780,3528,54
14:00:09,481,72,30,14,4331,2606,26,12,780,3541,53
14:00:10,481,72,30,14,4319,2605,25,10,780,3552,54
14:00:11,482,75,32,14,4305,2604,24,10,778,3548,53
14:00:12,473,78,33,14,4295,2603,22,9,778,3545,53
14:00:13,476,72,30,14,4287,2603,22,9,780,3552,58
14:00:14,467,74,31,14,4282,2603,22,9,778,3549,55
14:00:15,466,72,30,14,4278,2604,23,8,778,3545,55
14:00:16,455,69,29,14,4277,2604,24,8,778,3525,54
14:00:17,463,78,33,14,4276,2605,24,9,778,3528,53
